1 [N] [V] [C] [S]
2 [S] [N] [H] [J] [M] [Z]
move 7 crates from stack 9 to 7
move 11 crates from stack 5 to 9
move 3 crates from stack 7 to 6
move 6 crates from stack 4 to 9
move 5 crates from stack 7 to 3
move 6 crates from stack 3 to 6
move 2 crates from stack 1 to 2
move 2 crates from stack 4 to 9
move 6 crates from stack 9 to 2
move 1 crates from stack 7 to 5
move 10 crates from stack 2 to 9
move 4 crates from stack 9 to 4
move 1 crates from stack 4 to 3
move 31 crates from stack 9 to 3
move 1 crates from stack 9 to 4
move 6 crates from stack 3 to 8
move 1 crates from stack 5 to 8
move 5 crates from stack 6 to 4
move 4 crates from stack 3 to 2
move 1 crates from stack 4 to 6
move 22 crates from stack 3 to 7
move 6 crates from stack 4 to 7
move 4 crates from stack 6 to 2
move 8 crates from stack 8 to 1
move 3 crates from stack 2 to 8
move 2 crates from stack 1 to 9
move 1 crates from stack 2 to 6
move 3 crates from stack 2 to 5
move 2 crates from stack 5 to 4
move 2 crates from stack 6 to 4
move 24 crates from stack 7 to 4
move 1 crates from stack 7 to 4
move 2 crates from stack 1 to 5
move 2 crates from stack 9 to 6
move 10 crates from stack 4 to 6
move 3 crates from stack 1 to 6
move 6 crates from stack 7 to 1
move 2 crates from stack 2 to 3
move 1 crates from stack 7 to 4
move 2 crates from stack 8 to 4
move 1 crates from stack 8 to 5
move 4 crates from stack 5 to 2
move 5 crates from stack 4 to 1
move 2 crates from stack 7 to 8
move 2 crates from stack 8 to 4
move 5 crates from stack 6 to 3
move 2 crates from stack 4 to 3
move 1 crates from stack 7 to 5
move 2 crates from stack 3 to 6
move 1 crates from stack 5 to 1
move 3 crates from stack 6 to 8
move 11 crates from stack 4 to 3
move 7 crates from stack 6 to 1
move 3 crates from stack 8 to 1
move 1 crates from stack 2 to 3
move 2 crates from stack 6 to 9
move 2 crates from stack 2 to 3
move 3 crates from stack 4 to 3
move 2 crates from stack 9 to 4
move 1 crates from stack 6 to 3
move 5 crates from stack 1 to 2
move 2 crates from stack 4 to 3
move 24 crates from stack 3 to 7
move 3 crates from stack 3 to 9
move 1 crates from stack 2 to 6
move 1 crates from stack 2 to 5
move 1 crates from stack 6 to 1
move 4 crates from stack 2 to 1
move 2 crates from stack 9 to 2
move 1 crates from stack 2 to 4
move 18 crates from stack 7 to 5
move 1 crates from stack 2 to 1
move 1 crates from stack 9 to 1
move 2 crates from stack 5 to 7
move 13 crates from stack 1 to 8
move 3 crates from stack 4 to 9
move 7 crates from stack 1 to 7
move 13 crates from stack 7 to 6
move 1 crates from stack 9 to 5
move 3 crates from stack 4 to 3
move 1 crates from stack 9 to 8
move 3 crates from stack 1 to 3
move 1 crates from stack 9 to 5
move 2 crates from stack 1 to 4
move 2 crates from stack 7 to 3
move 4 crates from stack 3 to 1
move 1 crates from stack 1 to 5
move 9 crates from stack 6 to 7
move 5 crates from stack 7 to 1
move 2 crates from stack 4 to 1
move 4 crates from stack 6 to 1
move 3 crates from stack 5 to 3
move 3 crates from stack 3 to 5
move 7 crates from stack 1 to 6
move 6 crates from stack 6 to 1
move 1 crates from stack 6 to 8
move 2 crates from stack 7 to 9
move 2 crates from stack 1 to 5
move 1 crates from stack 3 to 7
move 7 crates from stack 5 to 9
move 10 crates from stack 1 to 5
move 8 crates from stack 8 to 4
move 6 crates from stack 4 to 8
move 1 crates from stack 4 to 1
move 2 crates from stack 9 to 8
move 2 crates from stack 1 to 3
move 2 crates from stack 7 to 3
move 1 crates from stack 7 to 8
move 4 crates from stack 3 to 8
move 1 crates from stack 3 to 2
move 20 crates from stack 5 to 8
move 1 crates from stack 2 to 4
move 4 crates from stack 9 to 4
move 4 crates from stack 4 to 5
move 18 crates from stack 8 to 6
move 3 crates from stack 9 to 6
move 1 crates from stack 3 to 9
move 10 crates from stack 8 to 7
move 7 crates from stack 7 to 9
move 7 crates from stack 8 to 5
move 3 crates from stack 7 to 8
move 6 crates from stack 5 to 1
move 6 crates from stack 9 to 4
move 1 crates from stack 9 to 6
move 1 crates from stack 3 to 6
move 1 crates from stack 8 to 5
move 1 crates from stack 9 to 4
move 12 crates from stack 6 to 7
move 5 crates from stack 7 to 1
move 6 crates from stack 8 to 5
move 1 crates from stack 5 to 1
move 3 crates from stack 5 to 3
move 8 crates from stack 4 to 9
move 2 crates from stack 3 to 7
move 4 crates from stack 7 to 2
move 10 crates from stack 5 to 6
move 11 crates from stack 1 to 6
move 4 crates from stack 2 to 5
move 1 crates from stack 3 to 8
move 1 crates from stack 8 to 9
move 1 crates from stack 4 to 7
move 3 crates from stack 7 to 4
move 1 crates from stack 1 to 6
move 1 crates from stack 4 to 7
move 1 crates from stack 7 to 1
move 4 crates from stack 5 to 2
move 3 crates from stack 7 to 1
move 2 crates from stack 4 to 8
move 20 crates from stack 6 to 8
move 4 crates from stack 1 to 5
move 2 crates from stack 5 to 2
move 6 crates from stack 6 to 1
move 5 crates from stack 1 to 8
move 7 crates from stack 6 to 2
move 6 crates from stack 9 to 7
move 2 crates from stack 9 to 8
move 2 crates from stack 7 to 4
move 4 crates from stack 2 to 6
move 3 crates from stack 5 to 8
move 12 crates from stack 8 to 7
move 1 crates from stack 4 to 3
move 1 crates from stack 2 to 9
move 1 crates from stack 9 to 2
move 1 crates from stack 6 to 8
move 1 crates from stack 3 to 1
move 2 crates from stack 1 to 6
move 1 crates from stack 4 to 2
move 3 crates from stack 6 to 2
move 2 crates from stack 5 to 7
move 1 crates from stack 9 to 8
move 6 crates from stack 2 to 4
move 17 crates from stack 7 to 1
move 10 crates from stack 1 to 7
move 4 crates from stack 2 to 6
move 10 crates from stack 7 to 8
move 3 crates from stack 6 to 2
move 4 crates from stack 4 to 1
move 2 crates from stack 6 to 4
move 4 crates from stack 2 to 6
move 1 crates from stack 7 to 1
move 2 crates from stack 4 to 3
move 12 crates from stack 1 to 7
move 5 crates from stack 6 to 3
move 17 crates from stack 8 to 2
move 4 crates from stack 3 to 8
move 1 crates from stack 4 to 2
move 20 crates from stack 8 to 7
move 19 crates from stack 2 to 6
move 7 crates from stack 6 to 3
move 7 crates from stack 3 to 5
move 2 crates from stack 5 to 7
move 4 crates from stack 6 to 9
move 1 crates from stack 4 to 2
move 1 crates from stack 2 to 1
move 2 crates from stack 3 to 6
move 1 crates from stack 2 to 6
move 1 crates from stack 3 to 1
move 4 crates from stack 6 to 2
move 1 crates from stack 5 to 9
move 7 crates from stack 7 to 3
move 7 crates from stack 3 to 8
move 5 crates from stack 8 to 1
move 2 crates from stack 8 to 3
move 1 crates from stack 2 to 1
move 3 crates from stack 5 to 6
move 1 crates from stack 3 to 9
move 2 crates from stack 9 to 2
move 8 crates from stack 1 to 7
move 3 crates from stack 7 to 6
move 2 crates from stack 2 to 4
move 21 crates from stack 7 to 3
move 10 crates from stack 3 to 1
move 2 crates from stack 9 to 2
move 7 crates from stack 3 to 4
move 3 crates from stack 3 to 7
move 4 crates from stack 2 to 3
move 3 crates from stack 7 to 8
move 1 crates from stack 3 to 6
move 1 crates from stack 3 to 2
move 4 crates from stack 7 to 9
move 10 crates from stack 1 to 6
move 1 crates from stack 5 to 9
move 6 crates from stack 7 to 2
move 24 crates from stack 6 to 5
move 2 crates from stack 8 to 4
move 1 crates from stack 8 to 6
move 2 crates from stack 2 to 9
move 5 crates from stack 2 to 7
move 1 crates from stack 2 to 9
move 11 crates from stack 4 to 1
move 3 crates from stack 3 to 2
move 4 crates from stack 9 to 7
move 1 crates from stack 1 to 5
move 1 crates from stack 6 to 1
move 5 crates from stack 1 to 9
move 5 crates from stack 9 to 7
move 5 crates from stack 7 to 5
move 23 crates from stack 5 to 2
move 5 crates from stack 7 to 8
move 6 crates from stack 5 to 6
move 1 crates from stack 3 to 7
move 1 crates from stack 5 to 7
move 6 crates from stack 7 to 8
move 3 crates from stack 6 to 1
move 2 crates from stack 8 to 7
move 4 crates from stack 2 to 1
move 4 crates from stack 8 to 5
move 7 crates from stack 2 to 3
move 1 crates from stack 7 to 4
move 1 crates from stack 4 to 7
move 4 crates from stack 3 to 8
move 6 crates from stack 1 to 9
move 4 crates from stack 8 to 6
move 3 crates from stack 1 to 5
move 3 crates from stack 8 to 5
move 1 crates from stack 1 to 8
move 3 crates from stack 9 to 1
move 3 crates from stack 6 to 7
move 1 crates from stack 7 to 9
move 3 crates from stack 8 to 3
move 8 crates from stack 5 to 7
move 11 crates from stack 2 to 8
move 5 crates from stack 8 to 3
move 1 crates from stack 8 to 7
move 10 crates from stack 3 to 4
move 2 crates from stack 5 to 8
move 3 crates from stack 9 to 2
move 1 crates from stack 9 to 6
move 7 crates from stack 2 to 7
move 6 crates from stack 9 to 4
move 1 crates from stack 8 to 5
move 3 crates from stack 6 to 8
move 1 crates from stack 5 to 3
move 2 crates from stack 3 to 1
move 6 crates from stack 1 to 3
move 13 crates from stack 7 to 5
move 16 crates from stack 4 to 3
move 2 crates from stack 1 to 5
move 5 crates from stack 5 to 4
move 11 crates from stack 3 to 4
move 2 crates from stack 7 to 1
move 7 crates from stack 3 to 1
move 2 crates from stack 8 to 3
move 8 crates from stack 1 to 9
move 12 crates from stack 4 to 8
move 1 crates from stack 1 to 4
move 2 crates from stack 6 to 2
move 3 crates from stack 7 to 8
move 2 crates from stack 4 to 6
move 5 crates from stack 8 to 1
move 3 crates from stack 7 to 5
move 6 crates from stack 5 to 7
move 2 crates from stack 2 to 5
move 1 crates from stack 4 to 9
move 5 crates from stack 1 to 8
move 6 crates from stack 3 to 1
move 7 crates from stack 5 to 7
move 7 crates from stack 9 to 2
move 1 crates from stack 6 to 7
move 1 crates from stack 1 to 9
move 2 crates from stack 5 to 3
move 2 crates from stack 9 to 6
move 13 crates from stack 7 to 3
move 2 crates from stack 6 to 1
move 1 crates from stack 9 to 2
move 16 crates from stack 8 to 7
move 6 crates from stack 8 to 5
move 3 crates from stack 2 to 5
move 4 crates from stack 2 to 1
move 3 crates from stack 1 to 8
move 2 crates from stack 8 to 9
move 1 crates from stack 8 to 7
move 1 crates from stack 2 to 1
move 8 crates from stack 3 to 1
move 1 crates from stack 4 to 5
move 1 crates from stack 6 to 3
move 2 crates from stack 9 to 7
move 5 crates from stack 1 to 4
move 15 crates from stack 7 to 9
move 11 crates from stack 9 to 3
move 7 crates from stack 1 to 3
move 2 crates from stack 1 to 6
move 1 crates from stack 6 to 3
move 2 crates from stack 4 to 5
move 2 crates from stack 4 to 9
move 7 crates from stack 5 to 9
move 5 crates from stack 9 to 3
move 1 crates from stack 1 to 6
move 5 crates from stack 5 to 9
move 1 crates from stack 4 to 8
move 1 crates from stack 8 to 4
move 3 crates from stack 7 to 4
move 8 crates from stack 9 to 5
move 1 crates from stack 6 to 4
move 4 crates from stack 9 to 3
move 1 crates from stack 9 to 3
move 23 crates from stack 3 to 1
move 12 crates from stack 1 to 2
move 6 crates from stack 1 to 9
move 5 crates from stack 9 to 7
move 3 crates from stack 3 to 7
move 6 crates from stack 4 to 3
move 1 crates from stack 6 to 8
move 6 crates from stack 1 to 2
move 3 crates from stack 7 to 3
move 3 crates from stack 2 to 5
move 10 crates from stack 3 to 5
move 1 crates from stack 1 to 8
move 12 crates from stack 2 to 5
move 3 crates from stack 2 to 9
move 2 crates from stack 8 to 4
move 13 crates from stack 5 to 1
move 2 crates from stack 9 to 2
move 2 crates from stack 1 to 3
move 11 crates from stack 3 to 1
move 2 crates from stack 2 to 1
move 2 crates from stack 1 to 9
move 16 crates from stack 1 to 7
move 17 crates from stack 5 to 8
move 1 crates from stack 1 to 2
move 3 crates from stack 9 to 6
